timestamp,calib_mag,calib_accel,calib_gyro,calib_sys,lacc_x,lacc_y,lacc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1721764455.25,0,0,0,0,0.0700,-0.0100,-0.4500,-0.2500,0.5000,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.26,0,0,0,0,0.0400,-0.0100,-0.4300,0.0000,-0.1875,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.26,0,0,0,0,0.0500,0.0100,-0.4100,0.1250,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.27,0,0,0,0,0.0400,-0.0200,-0.4600,-0.0625,0.2500,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.29,0,0,0,0,0.0400,0.0100,-0.4800,-0.0625,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.30,0,0,0,0,0.0600,0.0000,-0.3800,0.1250,-0.4375,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.31,0,0,0,0,0.0700,0.0100,-0.4300,0.0000,0.1875,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.32,0,0,0,0,0.0500,0.0000,-0.4500,-0.1875,0.3125,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.33,0,0,0,0,0.0500,0.0000,-0.4800,0.1250,-0.4375,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.34,0,0,0,0,0.0500,0.0000,-0.4300,0.0000,0.0000,-0.1250,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.34,0,0,0,0,0.0500,0.0000,-0.4400,-0.0625,0.3750,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.35,0,0,0,0,0.0600,0.0000,-0.4400,0.1250,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.37,0,0,0,0,0.0700,-0.0100,-0.4100,0.0625,-0.1875,-0.0625,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.38,0,0,0,0,0.0400,0.0100,-0.4400,-0.1250,0.3750,0.0000,0.99822998046875,0.00695800781250,0.05865478515625,0.00000000000000
1721764455.39,0,0,0,0,0.0500,0.0000,-0.4600,-0.1250,0.2500,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.40,0,0,0,0,0.0600,0.0000,-0.4500,0.1875,-0.3125,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.41,0,0,0,0,0.0600,0.0000,-0.4300,0.0000,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.42,0,0,0,0,0.0600,0.0000,-0.4400,0.0000,0.2500,-0.0625,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.43,0,0,0,0,0.0600,0.0000,-0.4400,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.43,0,0,0,0,0.0700,0.0000,-0.4600,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.44,0,0,0,0,0.0400,0.0000,-0.4400,-0.1250,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.46,0,0,0,0,0.0500,0.0000,-0.4300,0.0000,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.47,0,0,0,0,0.0700,0.0000,-0.4400,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.48,0,0,0,0,0.0600,-0.0200,-0.4600,-0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.49,0,0,0,0,0.0600,-0.0100,-0.4100,0.0625,0.0000,-0.1250,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.50,0,0,0,0,0.0600,-0.0100,-0.3900,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.51,0,0,0,0,0.0600,-0.0100,-0.4500,0.0000,0.0625,0.0625,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.51,0,0,0,0,0.0400,0.0000,-0.4200,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.52,0,0,0,0,0.0600,-0.0100,-0.4500,0.1250,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.54,0,0,0,0,0.0900,-0.0100,-0.4700,-0.0625,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.55,0,0,0,0,0.0500,-0.0100,-0.4500,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.56,0,0,0,0,0.0600,0.0000,-0.4400,0.0625,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.57,0,0,0,0,0.0600,0.0000,-0.4400,-0.0625,0.0000,0.0625,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.58,0,0,0,0,0.0500,-0.0200,-0.4300,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.59,0,0,0,0,0.0600,0.0000,-0.4500,0.1250,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.59,0,0,0,0,0.0600,-0.0100,-0.4300,-0.2500,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.61,0,0,0,0,0.0400,-0.0200,-0.4300,0.0000,0.0000,-0.0625,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.62,0,0,0,0,0.0500,-0.0100,-0.4300,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05871582031250,0.00000000000000
1721764455.63,0,0,0,0,0.0600,-0.0200,-0.4200,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.64,0,0,0,0,0.0700,0.0000,-0.4900,0.0625,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.65,0,0,0,0,0.0600,0.0000,-0.4400,0.0000,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.66,0,0,0,0,0.0500,-0.0200,-0.4300,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.67,0,0,0,0,0.0500,0.0100,-0.4600,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.68,0,0,0,0,0.0500,0.0000,-0.4600,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.68,0,0,0,0,0.0800,0.0000,-0.4200,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.70,0,0,0,0,0.0800,-0.0100,-0.4200,0.0625,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.71,0,0,0,0,0.0700,0.0000,-0.4400,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.72,0,0,0,0,0.0500,-0.0200,-0.4100,0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.73,0,0,0,0,0.0600,0.0000,-0.4400,0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.74,0,0,0,0,0.0400,0.0000,-0.4600,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.75,0,0,0,0,0.0400,0.0000,-0.4500,0.0000,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.76,0,0,0,0,0.0500,0.0000,-0.4000,-0.0625,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.76,0,0,0,0,0.0700,-0.0100,-0.4400,-0.0625,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.77,0,0,0,0,0.0600,0.0000,-0.4500,-0.0625,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.79,0,0,0,0,0.0600,0.0000,-0.4300,0.0000,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.80,0,0,0,0,0.0700,0.0000,-0.4400,0.1250,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.81,0,0,0,0,0.0500,-0.0100,-0.4500,-0.1875,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.82,0,0,0,0,0.0700,0.0000,-0.4400,-0.0625,0.0000,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.83,0,0,0,0,0.0500,-0.0100,-0.4500,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.84,0,0,0,0,0.0300,0.0000,-0.4700,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.84,0,0,0,0,0.0500,0.0000,-0.4500,0.0000,0.1875,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.86,0,0,0,0,0.0600,0.0000,-0.4200,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.87,0,0,1,0,0.0600,-0.0100,-0.4600,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.88,0,0,1,0,0.0300,0.0000,-0.4300,-0.0625,0.1875,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.89,0,0,1,0,0.0500,0.0200,-0.4500,0.0000,0.0000,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.90,0,0,1,0,0.0800,0.0000,-0.4200,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.91,0,0,1,0,0.0500,-0.0100,-0.4800,0.0000,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.92,0,0,1,0,0.0700,0.0200,-0.4100,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.93,0,0,1,0,0.0700,0.0000,-0.4200,0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.93,0,0,1,0,0.0500,-0.0200,-0.4600,-0.1250,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.95,0,0,1,0,0.0400,0.0000,-0.4300,0.0000,0.1875,0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.96,0,0,1,0,0.0400,-0.0100,-0.4200,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.97,0,0,1,0,0.0500,0.0000,-0.4200,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.98,0,0,1,0,0.0400,0.0000,-0.4400,-0.0625,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764455.99,0,0,1,0,0.0600,0.0000,-0.4400,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.00,0,0,1,0,0.0500,0.0000,-0.4300,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.01,0,0,1,0,0.0600,0.0000,-0.4400,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.01,0,0,1,0,0.0600,0.0000,-0.4300,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.03,0,0,1,0,0.0500,-0.0100,-0.4300,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.04,0,0,1,0,0.0700,-0.0200,-0.4500,0.0000,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.05,0,0,1,0,0.0500,-0.0100,-0.4200,-0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.06,0,0,1,0,0.0500,0.0000,-0.4500,0.0000,-0.0625,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.07,0,0,1,0,0.0600,0.0100,-0.4300,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.08,0,0,1,0,0.0600,-0.0100,-0.4400,-0.0625,0.0000,0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.09,0,0,1,0,0.0700,0.0000,-0.4600,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.09,0,0,1,0,0.0500,0.0000,-0.4300,0.0000,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.11,0,0,1,0,0.0600,0.0000,-0.4300,0.0000,0.0625,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.12,0,0,1,0,0.0600,0.0100,-0.4500,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.13,0,0,1,0,0.0400,-0.0100,-0.4400,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.14,0,0,1,0,0.0800,-0.0200,-0.4600,0.0000,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.15,0,0,1,0,0.0600,-0.0100,-0.4300,0.0000,0.0625,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.16,0,0,1,0,0.0700,0.0000,-0.4100,0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.17,0,0,1,0,0.0700,-0.0300,-0.4300,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.18,0,0,1,0,0.0500,0.0200,-0.4300,-0.0625,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.18,0,0,1,0,0.0600,0.0000,-0.4500,0.0000,0.0000,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.20,0,0,1,0,0.0600,-0.0100,-0.4400,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.21,0,0,1,0,0.0600,0.0000,-0.4100,0.0000,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.22,0,0,1,0,0.0400,0.0000,-0.4200,0.0000,0.0000,0.1250,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.23,0,0,1,0,0.0500,-0.0200,-0.4400,0.0000,0.0000,0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.24,0,0,1,0,0.0500,0.0100,-0.4400,0.0000,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.25,0,0,1,0,0.0500,0.0000,-0.4600,0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.26,0,0,1,0,0.0600,-0.0300,-0.4300,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.26,0,0,1,0,0.0600,-0.0200,-0.4100,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.28,0,0,1,0,0.0400,-0.0100,-0.4100,0.0625,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.29,0,0,1,0,0.0600,0.0000,-0.4500,0.0000,0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.30,0,0,1,0,0.0600,-0.0100,-0.4400,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.31,0,0,1,0,0.0500,0.0100,-0.4300,0.0000,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.32,0,0,1,0,0.0600,0.0000,-0.4400,0.0000,-0.1250,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.33,0,0,1,0,0.0400,0.0100,-0.4600,0.0000,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.34,0,0,1,0,0.0600,0.0100,-0.4300,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.34,0,0,1,0,0.0600,0.0100,-0.4300,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.36,0,0,1,0,0.0700,0.0000,-0.4500,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.37,0,0,2,0,0.0500,0.0000,-0.4300,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.38,0,0,2,0,0.0800,-0.0200,-0.4200,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.39,0,0,2,0,0.0600,-0.0400,-0.4400,0.0000,0.0625,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.40,0,0,2,0,0.0600,0.0000,-0.4400,0.0625,-0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.41,0,0,2,0,0.0500,0.0000,-0.4700,0.0000,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.42,0,0,2,0,0.0700,0.0000,-0.4300,0.0000,0.0625,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.43,0,0,2,0,0.0500,-0.0100,-0.4100,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.43,0,0,2,0,0.0500,0.0000,-0.4200,0.0000,-0.1875,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.45,0,0,2,0,0.0400,-0.0200,-0.4700,0.0000,0.0625,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.46,0,0,2,0,0.0600,-0.0100,-0.4500,-0.1250,0.1250,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.47,0,0,2,0,0.0800,-0.0100,-0.4200,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.48,0,0,2,0,0.0600,-0.0200,-0.4500,0.0000,0.0000,0.0000,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.49,0,0,2,0,0.0500,-0.0300,-0.4600,0.0000,0.0000,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
1721764456.50,0,0,2,0,0.0600,0.0000,-0.4500,0.0000,-0.1250,-0.0625,0.99822998046875,0.00695800781250,0.05877685546875,0.00000000000000
