Linear Accel X = 364, Y = 57, Z = 34, qw = 13407, qx = 563, qy = -448, qz = -9390
Linear Accel X = 351, Y = 60, Z = 58, qw = 13457, qx = 642, qy = -478, qz = -9312
Linear Accel X = 356, Y = -26, Z = 11, qw = 13462, qx = 740, qy = -502, qz = -9295
Linear Accel X = 437, Y = 2, Z = -8, qw = 13462, qx = 819, qy = -529, qz = -9288
Linear Accel X = 447, Y = -27, Z = 31, qw = 13429, qx = 876, qy = -590, qz = -9327
Linear Accel X = 318, Y = -58, Z = 61, qw = 13334, qx = 988, qy = -679, qz = -9445
Linear Accel X = 305, Y = -24, Z = 47, qw = 13275, qx = 1077, qy = -722, qz = -9514
Linear Accel X = 324, Y = -42, Z = 6, qw = 13224, qx = 1158, qy = -781, qz = -9571
Linear Accel X = 324, Y = -82, Z = -46, qw = 13139, qx = 1218, qy = -907, qz = -9670
Linear Accel X = 381, Y = -74, Z = 76, qw = 13070, qx = 1206, qy = -1014, qz = -9754
Linear Accel X = 364, Y = -111, Z = 92, qw = 12970, qx = 1214, qy = -1131, qz = -9872
Linear Accel X = 335, Y = -135, Z = 41, qw = 12847, qx = 1275, qy = -1218, qz = -10014
Linear Accel X = 271, Y = -167, Z = -18, qw = 12630, qx = 1384, qy = -1322, qz = -10259
Linear Accel X = 211, Y = -150, Z = -20, qw = 12494, qx = 1416, qy = -1389, qz = -10411
Linear Accel X = 193, Y = -136, Z = -28, qw = 12355, qx = 1430, qy = -1449, qz = -10566
Linear Accel X = 155, Y = -118, Z = -11, qw = 12215, qx = 1424, qy = -1501, qz = -10721
Linear Accel X = 165, Y = -68, Z = 6, qw = 12020, qx = 1385, qy = -1572, qz = -10935
Linear Accel X = 223, Y = -110, Z = -6, qw = 11890, qx = 1368, qy = -1624, qz = -11070
Linear Accel X = 228, Y = -135, Z = -57, qw = 11747, qx = 1342, qy = -1677, qz = -11217
Linear Accel X = 150, Y = -45, Z = 40, qw = 11514, qx = 1270, qy = -1757, qz = -11453
Linear Accel X = 95, Y = -50, Z = -49, qw = 11362, qx = 1278, qy = -1797, qz = -11597
Linear Accel X = 95, Y = -49, Z = -109, qw = 11230, qx = 1280, qy = -1836, qz = -11718
Linear Accel X = 171, Y = -26, Z = -113, qw = 11123, qx = 1234, qy = -1864, qz = -11820
Linear Accel X = 198, Y = 3, Z = -83, qw = 10963, qx = 1131, qy = -1876, qz = -11977
Linear Accel X = 194, Y = 58, Z = -12, qw = 10849, qx = 1075, qy = -1863, qz = -12088
Linear Accel X = 190, Y = 103, Z = -8, qw = 10741, qx = 1020, qy = -1859, qz = -12189
Linear Accel X = 231, Y = 86, Z = -52, qw = 10648, qx = 953, qy = -1869, qz = -12274
Linear Accel X = 189, Y = 126, Z = -98, qw = 10508, qx = 808, qy = -1877, qz = -12404
